date,district,crop,temperature_C,precip_mm,wind_m_s,solar_rad_MJ_m2,ETo_mm,real_soil_moisture_mm
2015-01-01,Baghpat,Wheat,15.54,0.0,1.14,7.78,2.1419737109804857,152.1274521946907
2015-01-02,Baghpat,Wheat,16.4,4.1,1.06,3.06,2.1401071130444476,181.09073638916016
2015-01-03,Baghpat,Wheat,14.3,11.06,1.0,4.97,2.0141077027512044,194.0357208251953
2015-01-04,Baghpat,Wheat,13.26,0.04,2.46,7.59,2.002748730893833,189.72129374742508
2015-01-05,Baghpat,Wheat,12.96,0.03,4.19,12.95,2.1679426786077385,183.82072895765305
2015-01-06,Baghpat,Wheat,13.06,0.0,2.56,9.12,2.053721080301593,178.52669209241867
2015-01-07,Baghpat,Wheat,12.35,0.0,2.11,6.11,1.9157296284682914,174.53155517578125
2015-01-08,Baghpat,Wheat,11.89,0.0,2.17,5.62,1.8932888863908526,170.51066905260086
2015-01-09,Baghpat,Wheat,11.12,0.0,1.77,7.19,1.8793545162842626,166.71066284179688
2015-01-10,Baghpat,Wheat,10.92,0.0,2.41,11.09,1.9971224393848959,163.44795674085617
2015-01-11,Baghpat,Wheat,11.67,0.0,2.25,8.26,1.9644183821130587,160.96573323011398
2015-01-12,Baghpat,Wheat,12.05,0.0,1.67,7.91,1.9852308553957616,158.75529795885086
2015-01-13,Baghpat,Wheat,12.23,0.0,1.57,9.49,2.057971329817261,158.9069366455078
2015-01-14,Baghpat,Wheat,11.24,2.34,1.53,4.77,1.8987290759845032,196.31424397230148
2015-01-15,Baghpat,Wheat,11.57,0.0,1.61,9.94,2.0431890519297884,200.09766072034836
2015-01-16,Baghpat,Wheat,12.7,0.0,1.55,11.06,2.1677454317786644,192.58404225111008
2015-01-17,Baghpat,Wheat,13.29,0.0,2.23,11.38,2.2296110647626115,185.88066548109055
2015-01-18,Baghpat,Wheat,12.8,0.0,2.13,10.6,2.177945370579221,179.5331910252571
2015-01-19,Baghpat,Wheat,12.82,0.0,1.66,8.79,2.127639002356308,173.83975982666016
2015-01-20,Baghpat,Wheat,12.04,0.0,1.14,7.37,2.0348659066378803,169.0349578857422
2015-01-21,Baghpat,Wheat,13.47,2.61,1.34,8.36,2.1780281865554634,212.29476481676102
2015-01-22,Baghpat,Wheat,12.27,6.15,1.42,1.79,2.0492456466991236,315.0724411010742
2015-01-23,Baghpat,Wheat,13.25,2.72,1.27,9.57,2.226238986992193,298.4493166208267
2015-01-24,Baghpat,Wheat,13.51,0.0,1.96,7.97,2.199576924998685,269.33841705322266
2015-01-25,Baghpat,Wheat,12.41,0.0,1.68,8.52,2.152218082645944,252.25352346897125
2015-01-26,Baghpat,Wheat,12.3,3.04,0.86,6.66,2.100175581651025,238.65509927272797
2015-01-27,Baghpat,Wheat,12.88,0.0,2.09,8.87,2.2209941018613906,226.7801284790039
2015-01-28,Baghpat,Wheat,10.91,0.0,2.17,12.32,2.1986093377076976,217.1276092529297
2015-01-29,Baghpat,Wheat,10.47,0.0,2.23,15.11,2.2594282409055917,208.4764525294304
2015-01-30,Baghpat,Wheat,11.47,0.0,2.98,16.67,2.3982648721518887,200.49304515123367
2015-01-31,Baghpat,Wheat,12.64,0.0,2.56,16.11,2.489541034753961,193.10074299573898
2015-02-01,Baghpat,Wheat,15.02,0.0,1.21,14.24,2.6344924789977755,187.5097319483757
2015-02-02,Baghpat,Wheat,15.9,0.11,1.86,12.01,2.639429709661998,204.2861983180046
2015-02-03,Baghpat,Wheat,15.66,2.13,2.68,13.42,2.6859421772023,321.4090257883072
2015-02-04,Baghpat,Wheat,14.43,0.45,2.31,10.8,2.5098776879949125,279.65411245822906
2015-02-05,Baghpat,Wheat,13.69,0.0,2.15,17.22,2.6806786060121026,257.69805908203125
2015-02-06,Baghpat,Wheat,14.26,0.0,1.36,16.63,2.7246612242074737,241.79247915744781
2015-02-07,Baghpat,Wheat,16.51,0.0,1.22,15.03,2.874919827099069,228.5808563232422
2015-02-08,Baghpat,Wheat,17.21,0.0,1.85,14.42,2.9275416504520226,222.36442118883133
2015-02-09,Baghpat,Wheat,16.17,0.0,2.17,16.61,2.9344420865933674,212.55569010972977
2015-02-10,Baghpat,Wheat,15.37,0.0,2.19,17.01,2.895031400957826,202.58960723876953
2015-02-11,Baghpat,Wheat,15.1,0.0,1.63,15.59,2.8390716812030914,193.65349262952805
2015-02-12,Baghpat,Wheat,14.98,0.0,2.1,15.61,2.845518679547808,185.88122874498367
2015-02-13,Baghpat,Wheat,15.99,0.0,2.34,17.88,3.0293558397152505,178.41968536376953
2015-02-14,Baghpat,Wheat,19.16,0.0,1.42,17.43,3.3151128402009555,171.41246795654297
2015-02-15,Baghpat,Wheat,20.2,0.0,1.25,16.8,3.402924749168449,165.3493881225586
2015-02-16,Baghpat,Wheat,19.28,0.0,1.82,14.02,3.2306123694390956,170.20225524902344
2015-02-17,Baghpat,Wheat,19.72,0.0,0.97,15.62,3.351984377469864,231.12831115722656
2015-02-18,Baghpat,Wheat,20.52,0.0,1.1,14.42,3.394304599114629,271.19008004665375
2015-02-19,Baghpat,Wheat,21.9,0.02,1.36,15.76,3.5936510041114,308.86688232421875
2015-02-20,Baghpat,Wheat,21.28,3.18,1.34,16.76,3.5989688666080046,292.64372885227203
2015-02-21,Baghpat,Wheat,21.59,0.0,2.77,17.31,3.670807846838127,266.09058380126953
2015-02-22,Baghpat,Wheat,21.88,0.0,3.28,18.88,3.7831079330231834,246.82331085205078
2015-02-23,Baghpat,Wheat,20.8,0.0,1.42,17.13,3.6308218580725344,232.69329965114594
2015-02-24,Baghpat,Wheat,21.35,0.0,1.13,12.47,3.5073852854100926,224.58972930908203
2015-02-25,Baghpat,Wheat,20.75,2.38,1.88,11.68,3.4401493086128814,311.4618390798569
2015-02-26,Baghpat,Wheat,15.96,0.26,1.68,18.9,3.2916915091388983,292.86517202854156
2015-02-27,Baghpat,Wheat,16.11,0.19,1.62,19.84,3.357271016573991,269.8024660348892
2015-02-28,Baghpat,Wheat,18.12,0.56,1.15,17.46,3.487266318254886,251.77115499973297
2015-03-01,Baghpat,Wheat,15.92,34.12,4.2,3.92,2.9666916563457995,349.0173250436783
2015-03-02,Baghpat,Wheat,16.48,31.16,2.68,9.87,3.079599295743199,376.20392739772797
2015-03-03,Baghpat,Wheat,15.76,4.36,1.5,12.82,3.14436745957255,353.5188764333725
2015-03-04,Baghpat,Wheat,15.38,0.01,2.2,20.05,3.3820355678765224,330.22957742214203
2015-03-05,Baghpat,Wheat,16.7,0.02,1.58,20.74,3.5596360605877067,311.45497262477875
2015-03-06,Baghpat,Wheat,18.03,0.1,1.94,19.83,3.6828617378890782,296.57879769802094
2015-03-07,Baghpat,Wheat,19.52,2.9,1.27,14.39,3.640754939214191,313.1286710500717
2015-03-08,Baghpat,Wheat,19.73,2.61,1.68,16.2,3.754786020062461,342.8438186645508
2015-03-09,Baghpat,Wheat,15.77,3.02,2.3,21.02,3.5459433931981166,333.2982927560806
2015-03-10,Baghpat,Wheat,16.69,0.0,2.42,22.51,3.7139057240712527,307.87811279296875
2015-03-11,Baghpat,Wheat,18.09,0.0,1.85,21.3,3.83985396847799,290.52086770534515
2015-03-12,Baghpat,Wheat,20.4,0.0,1.92,20.38,4.071310475639234,275.2939134836197
2015-03-13,Baghpat,Wheat,21.16,0.06,1.19,12.93,3.861363526131327,274.19356405735016
2015-03-14,Baghpat,Wheat,21.55,0.58,0.99,12.69,3.9099362107046023,272.58968353271484
2015-03-15,Baghpat,Wheat,19.15,3.95,3.23,5.12,3.5578389716828074,316.01885855197906
2015-03-16,Baghpat,Wheat,18.99,4.87,2.15,17.9,3.90291775007548,322.174072265625
2015-03-17,Baghpat,Wheat,19.91,0.0,2.61,21.57,4.164694058446508,298.7691968679428
2015-03-18,Baghpat,Wheat,19.58,0.0,3.18,22.53,4.184390780104555,276.4045625925064
2015-03-19,Baghpat,Wheat,20.12,0.0,2.08,23.4,4.2979751089931435,258.9214414358139
2015-03-20,Baghpat,Wheat,21.86,0.0,1.96,23.04,4.501102153765022,243.53256225585938
2015-03-21,Baghpat,Wheat,23.21,0.0,2.07,22.58,4.6559997736627095,229.64515686035156
2015-03-22,Baghpat,Wheat,24.59,0.0,2.86,22.81,4.844086809867157,216.1725953221321
2015-03-23,Baghpat,Wheat,24.99,0.0,2.52,23.18,4.9274398805251804,203.65161448717117
2015-03-24,Baghpat,Wheat,26.36,0.0,1.46,24.01,5.14446008577385,192.6229476928711
2015-03-25,Baghpat,Wheat,27.39,0.0,0.98,22.14,5.200412843658619,182.60822296142578
2015-03-26,Baghpat,Wheat,27.24,0.0,1.59,21.19,5.160790603231952,173.90385121107101
2015-03-27,Baghpat,Wheat,27.43,0.01,2.32,22.75,5.277375388804598,165.3997465968132
2015-03-28,Baghpat,Wheat,26.7,0.0,2.01,24.44,5.29030123282788,157.73448944091797
2015-03-29,Baghpat,Wheat,23.86,4.42,2.57,9.97,4.334496038848146,156.6970780491829
2015-03-30,Baghpat,Wheat,20.6,8.42,2.9,18.72,4.372692129763174,172.37834483385086
2015-03-31,Baghpat,Wheat,24.23,0.05,1.53,21.55,4.930969451118826,172.27706462144852
2015-04-01,Baghpat,Wheat,26.29,0.42,1.21,20.62,5.149843493962199,170.94497233629227
2015-04-02,Baghpat,Wheat,26.88,0.41,1.33,22.75,5.338174575821624,170.03231048583984
2015-04-03,Baghpat,Wheat,24.0,8.09,2.12,16.22,4.721999225600814,222.73005992174149
2015-04-04,Baghpat,Wheat,20.12,15.16,0.96,15.96,4.289367888033048,294.1366195678711
2015-04-05,Baghpat,Wheat,22.77,0.01,1.18,24.32,4.96642032303575,260.1734161376953
2015-04-06,Baghpat,Wheat,23.75,0.0,1.83,24.36,5.106002498750295,231.86358511447906
2015-04-07,Baghpat,Wheat,24.98,0.25,1.12,20.42,5.099818570776405,221.33502960205078
2015-04-08,Baghpat,Wheat,24.56,0.48,1.8,24.45,5.245205955037273,209.88064259290695
2015-04-09,Baghpat,Wheat,24.56,0.05,2.63,26.76,5.362057038043894,192.9645538330078
2015-04-10,Baghpat,Wheat,25.56,0.0,2.49,26.52,5.49586931168368,178.10840159654617
2015-04-11,Baghpat,Wheat,28.04,0.0,1.19,23.84,5.703250158167037,166.4594605565071
2015-04-12,Baghpat,Wheat,26.7,1.8,0.91,12.12,4.986460570533639,170.3762099146843
2015-04-13,Baghpat,Wheat,25.06,1.62,1.62,17.2,5.063289906249417,247.36176431179047
2015-04-14,Baghpat,Wheat,25.48,1.57,1.04,21.53,5.330583265405159,227.197265625
2015-04-15,Baghpat,Wheat,27.05,2.12,0.96,21.63,5.54537720977862,208.33453685045242
2015-04-16,Baghpat,Wheat,27.0,0.58,1.71,15.88,5.276820551033663,192.86784678697586
2015-04-17,Baghpat,Wheat,27.35,0.1,3.57,24.34,5.742918208714107,178.43799144029617
2015-04-18,Baghpat,Wheat,29.82,0.0,3.18,24.4,6.0769225664848365,164.5248368382454
2015-04-19,Baghpat,Wheat,31.62,0.0,1.84,25.15,6.361991229281133,152.73513346910477
2015-04-20,Baghpat,Wheat,31.1,0.09,2.11,22.73,6.188958921578797,144.57664489746094
2015-04-21,Baghpat,Wheat,30.43,0.0,2.34,24.2,6.194136117847076,139.08920735120773
2015-04-22,Baghpat,Wheat,29.31,0.0,2.9,27.22,6.211475314510172,134.86346751451492
2015-04-23,Baghpat,Wheat,30.59,0.0,1.69,26.97,6.383595548875531,131.8691298365593
2015-04-24,Baghpat,Wheat,33.37,0.0,0.91,26.54,6.74410961209398,129.45842742919922
2015-04-25,Baghpat,Wheat,32.0,0.0,1.5,26.88,6.596166980259851,131.29063099622726
2015-04-26,Baghpat,Wheat,28.49,0.09,2.87,25.33,6.071799150895226,132.75718241930008
2015-04-27,Baghpat,Wheat,29.74,2.86,2.47,23.66,6.167414248802064,136.2253189086914
2015-04-28,Baghpat,Wheat,31.3,0.2,1.77,23.56,6.378754596551743,143.38703155517578
2015-04-29,Baghpat,Wheat,31.55,0.13,1.47,25.47,6.522925897215157,140.17239063978195
2015-04-30,Baghpat,Wheat,31.74,0.0,1.89,25.59,6.567771198149614,142.33588725328445
2015-05-01,Baghpat,None,31.32,1.63,1.0,25.17,6.503962127972289,142.47780293226242
2015-05-02,Baghpat,None,30.64,0.15,1.97,25.84,6.460061316186421,137.09049224853516
2015-05-03,Baghpat,None,31.1,0.0,1.59,26.52,6.568020663064103,133.06045979261398
