date,temperature_C,precip_mm,wind_m_s,solar_rad_MJ_m2,district,latitude
2015-01-01,15.54,0.0,1.14,7.78,Baghpat,28.94
2015-01-02,16.4,4.1,1.06,3.06,Baghpat,28.94
2015-01-03,14.3,11.06,1.0,4.97,Baghpat,28.94
2015-01-04,13.26,0.04,2.46,7.59,Baghpat,28.94
2015-01-05,12.96,0.03,4.19,12.95,Baghpat,28.94
2015-01-06,13.06,0.0,2.56,9.12,Baghpat,28.94
2015-01-07,12.35,0.0,2.11,6.11,Baghpat,28.94
2015-01-08,11.89,0.0,2.17,5.62,Baghpat,28.94
2015-01-09,11.12,0.0,1.77,7.19,Baghpat,28.94
2015-01-10,10.92,0.0,2.41,11.09,Baghpat,28.94
2015-01-11,11.67,0.0,2.25,8.26,Baghpat,28.94
2015-01-12,12.05,0.0,1.67,7.91,Baghpat,28.94
2015-01-13,12.23,0.0,1.57,9.49,Baghpat,28.94
2015-01-14,11.24,2.34,1.53,4.77,Baghpat,28.94
2015-01-15,11.57,0.0,1.61,9.94,Baghpat,28.94
2015-01-16,12.7,0.0,1.55,11.06,Baghpat,28.94
2015-01-17,13.29,0.0,2.23,11.38,Baghpat,28.94
2015-01-18,12.8,0.0,2.13,10.6,Baghpat,28.94
2015-01-19,12.82,0.0,1.66,8.79,Baghpat,28.94
2015-01-20,12.04,0.0,1.14,7.37,Baghpat,28.94
2015-01-21,13.47,2.61,1.34,8.36,Baghpat,28.94
2015-01-22,12.27,6.15,1.42,1.79,Baghpat,28.94
2015-01-23,13.25,2.72,1.27,9.57,Baghpat,28.94
2015-01-24,13.51,0.0,1.96,7.97,Baghpat,28.94
2015-01-25,12.41,0.0,1.68,8.52,Baghpat,28.94
2015-01-26,12.3,3.04,0.86,6.66,Baghpat,28.94
2015-01-27,12.88,0.0,2.09,8.87,Baghpat,28.94
2015-01-28,10.91,0.0,2.17,12.32,Baghpat,28.94
2015-01-29,10.47,0.0,2.23,15.11,Baghpat,28.94
2015-01-30,11.47,0.0,2.98,16.67,Baghpat,28.94
2015-01-31,12.64,0.0,2.56,16.11,Baghpat,28.94
2015-02-01,15.02,0.0,1.21,14.24,Baghpat,28.94
2015-02-02,15.9,0.11,1.86,12.01,Baghpat,28.94
2015-02-03,15.66,2.13,2.68,13.42,Baghpat,28.94
2015-02-04,14.43,0.45,2.31,10.8,Baghpat,28.94
2015-02-05,13.69,0.0,2.15,17.22,Baghpat,28.94
2015-02-06,14.26,0.0,1.36,16.63,Baghpat,28.94
2015-02-07,16.51,0.0,1.22,15.03,Baghpat,28.94
2015-02-08,17.21,0.0,1.85,14.42,Baghpat,28.94
2015-02-09,16.17,0.0,2.17,16.61,Baghpat,28.94
2015-02-10,15.37,0.0,2.19,17.01,Baghpat,28.94
2015-02-11,15.1,0.0,1.63,15.59,Baghpat,28.94
2015-02-12,14.98,0.0,2.1,15.61,Baghpat,28.94
2015-02-13,15.99,0.0,2.34,17.88,Baghpat,28.94
2015-02-14,19.16,0.0,1.42,17.43,Baghpat,28.94
2015-02-15,20.2,0.0,1.25,16.8,Baghpat,28.94
2015-02-16,19.28,0.0,1.82,14.02,Baghpat,28.94
2015-02-17,19.72,0.0,0.97,15.62,Baghpat,28.94
2015-02-18,20.52,0.0,1.1,14.42,Baghpat,28.94
2015-02-19,21.9,0.02,1.36,15.76,Baghpat,28.94
2015-02-20,21.28,3.18,1.34,16.76,Baghpat,28.94
2015-02-21,21.59,0.0,2.77,17.31,Baghpat,28.94
2015-02-22,21.88,0.0,3.28,18.88,Baghpat,28.94
2015-02-23,20.8,0.0,1.42,17.13,Baghpat,28.94
2015-02-24,21.35,0.0,1.13,12.47,Baghpat,28.94
2015-02-25,20.75,2.38,1.88,11.68,Baghpat,28.94
2015-02-26,15.96,0.26,1.68,18.9,Baghpat,28.94
2015-02-27,16.11,0.19,1.62,19.84,Baghpat,28.94
2015-02-28,18.12,0.56,1.15,17.46,Baghpat,28.94
2015-03-01,15.92,34.12,4.2,3.92,Baghpat,28.94
2015-03-02,16.48,31.16,2.68,9.87,Baghpat,28.94
2015-03-03,15.76,4.36,1.5,12.82,Baghpat,28.94
2015-03-04,15.38,0.01,2.2,20.05,Baghpat,28.94
2015-03-05,16.7,0.02,1.58,20.74,Baghpat,28.94
2015-03-06,18.03,0.1,1.94,19.83,Baghpat,28.94
2015-03-07,19.52,2.9,1.27,14.39,Baghpat,28.94
2015-03-08,19.73,2.61,1.68,16.2,Baghpat,28.94
2015-03-09,15.77,3.02,2.3,21.02,Baghpat,28.94
2015-03-10,16.69,0.0,2.42,22.51,Baghpat,28.94
2015-03-11,18.09,0.0,1.85,21.3,Baghpat,28.94
2015-03-12,20.4,0.0,1.92,20.38,Baghpat,28.94
2015-03-13,21.16,0.06,1.19,12.93,Baghpat,28.94
2015-03-14,21.55,0.58,0.99,12.69,Baghpat,28.94
2015-03-15,19.15,3.95,3.23,5.12,Baghpat,28.94
2015-03-16,18.99,4.87,2.15,17.9,Baghpat,28.94
2015-03-17,19.91,0.0,2.61,21.57,Baghpat,28.94
2015-03-18,19.58,0.0,3.18,22.53,Baghpat,28.94
2015-03-19,20.12,0.0,2.08,23.4,Baghpat,28.94
2015-03-20,21.86,0.0,1.96,23.04,Baghpat,28.94
2015-03-21,23.21,0.0,2.07,22.58,Baghpat,28.94
2015-03-22,24.59,0.0,2.86,22.81,Baghpat,28.94
2015-03-23,24.99,0.0,2.52,23.18,Baghpat,28.94
2015-03-24,26.36,0.0,1.46,24.01,Baghpat,28.94
2015-03-25,27.39,0.0,0.98,22.14,Baghpat,28.94
2015-03-26,27.24,0.0,1.59,21.19,Baghpat,28.94
2015-03-27,27.43,0.01,2.32,22.75,Baghpat,28.94
2015-03-28,26.7,0.0,2.01,24.44,Baghpat,28.94
2015-03-29,23.86,4.42,2.57,9.97,Baghpat,28.94
2015-03-30,20.6,8.42,2.9,18.72,Baghpat,28.94
2015-03-31,24.23,0.05,1.53,21.55,Baghpat,28.94
2015-04-01,26.29,0.42,1.21,20.62,Baghpat,28.94
2015-04-02,26.88,0.41,1.33,22.75,Baghpat,28.94
2015-04-03,24.0,8.09,2.12,16.22,Baghpat,28.94
2015-04-04,20.12,15.16,0.96,15.96,Baghpat,28.94
2015-04-05,22.77,0.01,1.18,24.32,Baghpat,28.94
2015-04-06,23.75,0.0,1.83,24.36,Baghpat,28.94
2015-04-07,24.98,0.25,1.12,20.42,Baghpat,28.94
2015-04-08,24.56,0.48,1.8,24.45,Baghpat,28.94
2015-04-09,24.56,0.05,2.63,26.76,Baghpat,28.94
2015-04-10,25.56,0.0,2.49,26.52,Baghpat,28.94
2015-04-11,28.04,0.0,1.19,23.84,Baghpat,28.94
2015-04-12,26.7,1.8,0.91,12.12,Baghpat,28.94
2015-04-13,25.06,1.62,1.62,17.2,Baghpat,28.94
2015-04-14,25.48,1.57,1.04,21.53,Baghpat,28.94
2015-04-15,27.05,2.12,0.96,21.63,Baghpat,28.94
2015-04-16,27.0,0.58,1.71,15.88,Baghpat,28.94
2015-04-17,27.35,0.1,3.57,24.34,Baghpat,28.94
2015-04-18,29.82,0.0,3.18,24.4,Baghpat,28.94
2015-04-19,31.62,0.0,1.84,25.15,Baghpat,28.94
2015-04-20,31.1,0.09,2.11,22.73,Baghpat,28.94
2015-04-21,30.43,0.0,2.34,24.2,Baghpat,28.94
2015-04-22,29.31,0.0,2.9,27.22,Baghpat,28.94
2015-04-23,30.59,0.0,1.69,26.97,Baghpat,28.94
2015-04-24,33.37,0.0,0.91,26.54,Baghpat,28.94
2015-04-25,32.0,0.0,1.5,26.88,Baghpat,28.94
2015-04-26,28.49,0.09,2.87,25.33,Baghpat,28.94
2015-04-27,29.74,2.86,2.47,23.66,Baghpat,28.94
2015-04-28,31.3,0.2,1.77,23.56,Baghpat,28.94
2015-04-29,31.55,0.13,1.47,25.47,Baghpat,28.94
2015-04-30,31.74,0.0,1.89,25.59,Baghpat,28.94
2015-05-01,31.32,1.63,1.0,25.17,Baghpat,28.94
2015-05-02,30.64,0.15,1.97,25.84,Baghpat,28.94
2015-05-03,31.1,0.0,1.59,26.52,Baghpat,28.94
2015-05-04,31.74,0.0,1.7,27.72,Baghpat,28.94
2015-05-05,31.75,0.0,2.06,26.76,Baghpat,28.94
2015-05-06,32.88,0.0,3.27,27.0,Baghpat,28.94
2015-05-07,33.66,0.0,2.98,26.45,Baghpat,28.94
2015-05-08,34.44,0.0,3.31,26.4,Baghpat,28.94
2015-05-09,34.55,0.0,1.5,25.04,Baghpat,28.94
2015-05-10,34.85,0.0,1.58,26.03,Baghpat,28.94
2015-05-11,36.02,0.1,1.43,23.26,Baghpat,28.94
2015-05-12,35.02,0.88,1.13,25.52,Baghpat,28.94
2015-05-13,33.77,0.18,1.81,16.08,Baghpat,28.94
2015-05-14,32.75,0.96,1.47,25.87,Baghpat,28.94
2015-05-15,33.25,0.11,2.64,22.83,Baghpat,28.94
2015-05-16,34.01,1.22,1.19,26.78,Baghpat,28.94
2015-05-17,34.79,0.0,1.6,27.32,Baghpat,28.94
2015-05-18,36.91,0.0,1.52,26.81,Baghpat,28.94
2015-05-19,37.85,0.0,2.81,18.29,Baghpat,28.94
2015-05-20,36.09,0.48,4.25,27.18,Baghpat,28.94
2015-05-21,36.23,0.0,4.21,27.91,Baghpat,28.94
2015-05-22,36.88,0.0,3.93,28.57,Baghpat,28.94
2015-05-23,36.86,0.0,3.97,26.9,Baghpat,28.94
2015-05-24,37.17,0.04,2.45,25.86,Baghpat,28.94
2015-05-25,37.44,0.0,2.56,25.01,Baghpat,28.94
2015-05-26,36.42,0.0,3.38,26.79,Baghpat,28.94
2015-05-27,35.32,0.28,3.33,30.25,Baghpat,28.94
2015-05-28,35.25,0.0,2.66,26.19,Baghpat,28.94
2015-05-29,36.64,0.04,2.98,25.58,Baghpat,28.94
2015-05-30,36.9,0.0,3.0,27.41,Baghpat,28.94
2015-05-31,36.31,0.0,2.33,24.38,Baghpat,28.94
2015-06-01,35.92,0.33,1.77,16.41,Baghpat,28.94
2015-06-02,34.27,1.16,1.35,24.41,Baghpat,28.94
2015-06-03,34.81,0.31,1.28,21.2,Baghpat,28.94
2015-06-04,34.99,0.11,1.78,25.86,Baghpat,28.94
2015-06-05,35.0,0.51,2.07,27.09,Baghpat,28.94
2015-06-06,35.28,0.0,2.45,26.81,Baghpat,28.94
2015-06-07,36.41,0.0,2.4,27.36,Baghpat,28.94
2015-06-08,37.98,0.0,2.67,27.42,Baghpat,28.94
2015-06-09,38.92,0.0,4.25,20.22,Baghpat,28.94
2015-06-10,36.84,0.0,5.57,23.35,Baghpat,28.94
2015-06-11,37.82,0.13,4.6,23.92,Baghpat,28.94
2015-06-12,37.52,0.0,4.22,25.66,Baghpat,28.94
2015-06-13,35.46,11.69,2.92,19.52,Baghpat,28.94
2015-06-14,32.48,6.73,1.88,12.94,Baghpat,28.94
2015-06-15,33.75,0.0,1.49,20.45,Baghpat,28.94
2015-06-16,34.3,0.02,1.68,24.57,Baghpat,28.94
2015-06-17,35.17,0.0,2.05,24.35,Baghpat,28.94
2015-06-18,36.02,0.63,1.38,24.47,Baghpat,28.94
2015-06-19,37.16,0.14,1.64,21.42,Baghpat,28.94
2015-06-20,36.39,2.64,1.9,21.6,Baghpat,28.94
2015-06-21,35.23,8.84,0.84,18.84,Baghpat,28.94
2015-06-22,35.52,0.27,0.85,22.92,Baghpat,28.94
2015-06-23,36.06,2.69,1.35,23.98,Baghpat,28.94
2015-06-24,34.07,1.85,1.7,18.63,Baghpat,28.94
2015-06-25,28.59,36.34,1.68,8.8,Baghpat,28.94
2015-06-26,32.12,0.0,3.49,25.17,Baghpat,28.94
2015-06-27,33.08,0.44,3.74,23.9,Baghpat,28.94
2015-06-28,34.18,0.02,2.79,24.31,Baghpat,28.94
2015-06-29,33.38,8.32,1.78,19.52,Baghpat,28.94
2015-06-30,31.94,24.4,0.91,20.59,Baghpat,28.94
2015-07-01,32.76,2.96,1.27,23.79,Baghpat,28.94
2015-07-02,32.94,0.33,1.53,23.22,Baghpat,28.94
2015-07-03,34.27,1.19,3.25,23.12,Baghpat,28.94
2015-07-04,34.82,0.8,3.69,22.06,Baghpat,28.94
2015-07-05,34.81,7.17,2.84,20.61,Baghpat,28.94
2015-07-06,31.77,29.84,1.86,10.33,Baghpat,28.94
2015-07-07,31.36,15.31,0.77,16.78,Baghpat,28.94
2015-07-08,31.75,4.49,0.76,20.69,Baghpat,28.94
2015-07-09,31.38,3.42,1.43,14.22,Baghpat,28.94
2015-07-10,28.95,38.32,1.66,4.67,Baghpat,28.94
2015-07-11,28.04,98.39,1.61,4.99,Baghpat,28.94
2015-07-12,28.15,14.43,2.8,5.7,Baghpat,28.94
2015-07-13,28.71,6.3,0.9,23.6,Baghpat,28.94
2015-07-14,29.31,0.86,2.38,24.3,Baghpat,28.94
2015-07-15,29.87,1.26,3.49,24.6,Baghpat,28.94
2015-07-16,30.14,0.82,2.78,19.61,Baghpat,28.94
2015-07-17,29.85,5.77,1.26,17.64,Baghpat,28.94
2015-07-18,30.05,2.8,1.11,12.45,Baghpat,28.94
2015-07-19,29.54,1.77,0.96,18.43,Baghpat,28.94
2015-07-20,29.61,2.58,0.57,12.77,Baghpat,28.94
2015-07-21,30.26,2.91,0.92,20.67,Baghpat,28.94
2015-07-22,29.55,2.92,1.16,22.07,Baghpat,28.94
2015-07-23,29.45,0.25,1.6,22.09,Baghpat,28.94
2015-07-24,29.62,0.4,1.25,19.4,Baghpat,28.94
2015-07-25,29.41,11.65,1.25,22.15,Baghpat,28.94
2015-07-26,28.7,2.77,3.39,19.66,Baghpat,28.94
2015-07-27,28.61,2.74,2.77,22.46,Baghpat,28.94
2015-07-28,28.38,0.58,2.29,22.29,Baghpat,28.94
2015-07-29,28.2,0.01,2.73,14.91,Baghpat,28.94
2015-07-30,29.49,0.12,2.16,15.24,Baghpat,28.94
2015-07-31,28.92,9.28,2.26,14.19,Baghpat,28.94
2015-08-01,28.79,4.3,1.79,13.5,Baghpat,28.94
2015-08-02,28.58,3.31,1.01,19.99,Baghpat,28.94
2015-08-03,27.98,0.01,1.16,23.7,Baghpat,28.94
